ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,1,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,2,-0.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,3,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,4,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,5,-0.8,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,6,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,7,-0.9,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,8,-0.9,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,9,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,10,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,11,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,12,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,13,-1.2,-1.2,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,14,-1.2,-1.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,15,-1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,16,-1.2,-0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,17,-1.2,-0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,18,-1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,19,-1.2,-1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,20,-1.2,-0.98,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,21,-1.2,-0.96,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,22,-0.96,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,23,-1.2,-0.98,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,24,-0.98,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,25,-1.2,-1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,26,-0.98,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,27,-1.2,-0.98,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,28,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,29,-1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,30,-1.02,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,31,-1.02,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,32,-1.04,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,33,-1.02,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,34,-1.02,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,35,-1.04,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,36,-1.04,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,37,-1.06,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_b,38,-1.06,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1.1,-1.2,-1.1,-1,-0.9000001,-0.9000001,-1,-1,-0.9800001,-0.9600002,-0.9600002,-0.9800001,-0.9800001,-1,-0.9800001,-0.9800001,-1,-1,-1.02,-1.02,-1.04,-1.02,-1.02,-1.04,-1.04,-1.06,-1.06,-1.04
-1.2,-0.9000001,-1,-0.9600002,-1,-0.9800001,-1.04,-1.02,-1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
