ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,1,-1.2,-1.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,2,-1.2,-1.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,3,-1.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,4,-1.2,-1.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,5,-1.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,6,-1.2,-1.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,7,-1.2,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,8,-1.2,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,9,-1.2,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,10,-1.4,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,11,-1.3,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,12,-1.4,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,13,-1.2,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,14,-1.2,-1.3,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,15,-1.2,-1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,16,-1.2,-1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,17,-1.3,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,18,-1.32,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,19,-1.34,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,20,-1.2,-1.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,21,-1.36,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,22,-1.2,-1.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,23,-1.34,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,24,-1.32,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,25,-1.2,-1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,26,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,27,-1.2,-1.3,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,28,-1.2,-1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,29,-1.32,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,30,-1.2,-1.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,31,-1.2,-1.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,32,-1.2,-1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,33,-1.2,-1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,34,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_c,35,-1.3,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.5,-1.4,-1.4,-1.3,-1.4,-1.4,-1.3,-1.32,-1.32,-1.3,-1.32,-1.34,-1.36,-1.36,-1.34,-1.34,-1.32,-1.32,-1.3,-1.3,-1.32,-1.32,-1.34,-1.34,-1.32,-1.32,-1.3,-1.3,-1.32
-1.3,-1.4,-1.3,-1.32,-1.3,-1.36,-1.3,-1.34,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
