ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,1,-1.9,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,2,-1.9,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,3,-2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,4,-2.7,-2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,5,-2.1,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,6,-2.1,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,7,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,8,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,9,-2.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,10,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,11,-2.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,12,-2.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,13,-2.7,-2.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,14,-2.7,-2.5,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,15,-2.7,-2.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,16,-2.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,17,-2.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,18,-2.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,19,-2.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,20,-2.7,-2.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,21,-2.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,22,-2.7,-2.6,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,23,-2.58,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,24,-2.7,-2.58,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,25,-2.7,-2.56,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,26,-2.56,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,27,-2.7,-2.58,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,28,-2.7,-2.58,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,29,-2.7,-2.56,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,30,-2.54,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,31,-2.52,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,32,-2.52,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,33,-2.7,-2.54,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,34,-2.7,-2.52,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
