ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,
002_C,1,-1.8,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,2,-1.8,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,3,-1.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,4,-1.2,-1.7,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,5,-1.2,-1.6,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,6,-1.2,-1.6,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,7,-1.2,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,8,-1.2,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,9,-1.4,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,10,-1.2,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,11,-1.2,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,12,-1.2,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,13,-1.2,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,
002_C,14,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,15,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,16,-1.2,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,
002_C,17,-1.22,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,18,-1.2,-1.22,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,19,-1.2,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,
002_C,20,-1.22,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,21,-1.2,-1.22,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,22,-1.2,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,
002_C,23,-1.2,-1.22,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,24,-1.2,-1.22,A,TRUE,,,,,,,,,,,,,,,,,,,,
002_C,25,-1.2,-1.2,B,FALSE,,,,,,,,,,,,,,,,,,,,
-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.5,-1.4,-1.4,-1.3,-1.3,-1.2,-1.3,-1.3,-1.2,-1.22,-1.22,-1.2,-1.22,-1.22,-1.2,-1.22,-1.22,-1.2,-1.22
-1.2,-1.3,-1.2,-1.22,-1.2,-1.22,-1.2,-1.22,-1.2,,,,,,,,,,,,,,,,,
-1.21,,,,,,,,,,,,,,,,,,,,,,,,,
