ID,Trial,A,B,Answer,Result
002_D,1,0.80,0.30,B,True
002_D,2,0.80,0.30,B,True
002_D,3,0.30,0.70,A,True
002_D,4,0.70,0.30,B,True
002_D,5,0.30,0.60,A,True
002_D,6,0.60,0.30,B,True
002_D,7,0.50,0.30,B,True
002_D,8,0.30,0.50,A,True
002_D,9,0.40,0.30,B,True
002_D,10,0.40,0.30,B,True
002_D,11,0.30,0.30,B,False
002_D,12,0.40,0.30,B,True
002_D,13,0.40,0.30,B,True
002_D,14,0.30,0.30,B,False
002_D,15,0.30,0.32,A,True
002_D,16,0.30,0.32,A,True
002_D,17,0.30,0.30,A,False
002_D,18,0.32,0.30,B,True
002_D,19,0.30,0.32,A,True
002_D,20,0.30,0.30,B,False
002_D,21,0.30,0.32,B,False
002_D,22,0.34,0.30,A,False
002_D,23,0.30,0.36,A,True
002_D,24,0.30,0.36,A,True
002_D,25,0.30,0.34,A,True
002_D,26,0.34,0.30,A,False
0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.32,0.32,0.3,0.32,0.32,0.3,0.32,0.34,0.36,0.36,0.34,0.34,0.36
0.3,0.4,0.3,0.32,0.3,0.32,0.3,0.36,0.34
0.33

