ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,1,-2.7,-1.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,2,-2.7,-1.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,3,-2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,4,-2.7,-2,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,5,-1.9,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,6,-1.9,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,7,-2.7,-2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,8,-2.7,-2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,9,-2.1,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,10,-2.7,-2.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,11,-2.2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,12,-2.2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,13,-2.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,14,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,15,-2.4,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,16,-2.38,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,17,-2.7,-2.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,18,-2.7,-2.36,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,19,-2.7,-2.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,20,-2.34,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,21,-2.36,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,22,-2.7,-2.36,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,23,-2.34,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,24,-2.34,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,25,-2.7,-2.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,26,-2.7,-2.36,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,27,-2.7,-2.34,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,28,-2.7,-2.32,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,29,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,30,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,31,-2.32,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,32,-2.32,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_a,33,-2.7,-2.34,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.9,-1.9,-2,-2,-1.9,-1.9,-2,-2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.3,-2.4,-2.38,-2.36,-2.36,-2.34,-2.34,-2.36,-2.36,-2.34,-2.34,-2.36,-2.36,-2.34,-2.32,-2.3,-2.3,-2.32,-2.32,-2.34,-2.32
-2,-1.9,-2.4,-2.34,-2.36,-2.34,-2.36,-2.3,-2.34,,,,,,,,,,,,,,,,,,,,,,,,,
-2.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
