ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,1,-0.5,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,2,-0.5,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,3,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,4,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,5,-1.2,-0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,6,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,7,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,8,-0.8,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,9,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,10,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,11,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,12,-0.8,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,13,-1.2,-0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,14,-1.2,-0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,15,-1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,16,-0.98,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,17,-1.2,-0.98,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,18,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,19,-1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,20,-1.2,-1.02,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,21,-1.02,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,22,-1.2,-1.04,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,23,-1.2,-1.04,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,24,-1.06,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,25,-1.06,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,26,-1.04,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,27,-1.2,-1.04,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,28,-1.02,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,29,-1.2,-1.02,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,30,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,31,-1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,32,-1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,33,-1.2,-0.98,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,34,-0.98,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,35,-1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,36,-0.98,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,37,-1.2,-0.96,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,38,-0.94,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,39,-1.2,-0.94,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,40,-1.2,-0.92,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,41,-0.92,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,42,-0.94,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_b,43,-1.2,-0.94,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,-0.5,-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-0.9800001,-0.9800001,-1,-1,-1.02,-1.02,-1.04,-1.04,-1.06,-1.06,-1.04,-1.04,-1.02,-1.02,-1,-1,-0.9800001,-0.9800001,-1,-0.9800001,-0.9600002,-0.9400002,-0.9400002,-0.9200002,-0.9200002,-0.9400002,-0.9400002,-0.9200002
-0.8000001,-0.7,-1,-0.9800001,-1.06,-0.9800001,-1,-0.9200002,-0.9400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
