ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,1,0.8,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,2,0.8,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,3,0.7,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,4,0.8,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,5,0.3,0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,6,0.7,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,7,0.3,0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,8,0.3,0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,9,0.6,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,10,0.3,0.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,11,0.5,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,12,0.3,0.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,13,0.3,0.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,14,0.3,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,15,0.32,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,16,0.32,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,17,0.34,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,18,0.36,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,19,0.36,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,20,0.3,0.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,21,0.34,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,22,0.3,0.32,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,23,0.34,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,24,0.3,0.34,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,25,0.3,0.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,26,0.3,0.36,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,27,0.38,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,28,0.3,0.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,29,0.36,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,30,0.36,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,31,0.38,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,32,0.38,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,33,0.4,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,34,0.3,0.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_d,35,0.38,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.8,0.7,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.32,0.32,0.34,0.36,0.36,0.34,0.34,0.32,0.34,0.34,0.36,0.36,0.38,0.38,0.36,0.36,0.38,0.4,0.4,0.38,0.4
0.7,0.8,0.3,0.36,0.32,0.38,0.36,0.4,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
