ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,
003_f,1,1,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,2,1.8,0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,3,1.8,0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,4,1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,5,1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,6,1.1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,7,1.1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,8,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,9,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,10,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,11,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,12,1.4,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,13,1.8,1.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,14,1.38,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,15,1.36,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,16,1.34,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,17,1.32,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,18,1.32,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,19,1.34,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,20,1.8,1.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,21,1.8,1.36,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,22,1.34,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,23,1.8,1.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,24,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,25,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,26,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,27,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,28,1.38,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,29,1.8,1.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,30,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,31,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,32,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,33,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,34,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
003_f,35,1.8,1.38,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.38,1.36,1.34,1.32,1.32,1.34,1.34,1.36,1.34,1.34,1.36,1.36,1.38,1.36,1.36,1.38,1.36
1,0.9,1.4,1.32,1.36,1.34,1.38,1.36,1.38,,,,,,,,,,,,,,,,,,,,,
1.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
