ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,
004_b,1,-0.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,2,-0.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,3,-1.2,-0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,4,-1.2,-0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,5,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,6,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,7,-0.9,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,8,-0.9,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,9,-1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,10,-1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,11,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
004_b,12,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,13,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,14,-1.2,-1.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,
004_b,15,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,16,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,17,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,18,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,19,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
004_b,20,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,21,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,22,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
004_b,23,-1.08,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
004_b,24,-1.2,-1.06,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,25,-1.2,-1.06,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,26,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,27,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,28,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
004_b,29,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1,-1,-1.1,-1.08,-1.08,-1.1,-1.1,-1.08,-1.08,-1.1,-1.08,-1.06,-1.06,-1.08,-1.08,-1.1,-1.1,-1.08
-1.1,-1,-1.1,-1.08,-1.1,-1.08,-1.1,-1.06,-1.1,,,,,,,,,,,,,,,,,,,,
-1.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
