ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,0,-2.7,-2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,1,-2.7,-2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,2,-2.7,-2.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,3,-2.1,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,4,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,5,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,6,-2.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,7,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,8,-2.7,-2.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,9,-2.4,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,10,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,11,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,12,-2.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,13,-2.7,-2.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,14,-2.7,-2.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,15,-2.7,-2.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,16,-2.7,-2.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,17,-2.7,-2.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,18,-2.7,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,19,-2.68,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,20,-2.68,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,21,-2.7,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,22,-2.7,-2.68,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,23,-2.7,-2.68,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,24,-2.7,-2.66,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,25,-2.7,-2.66,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,26,-2.68,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,27,-2.68,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,28,-2.7,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,29,-2.68,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,30,-2.68,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,31,-2.7,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_a,32,-2.7,-2.68,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,-2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.3,-2.4,-2.4,-2.3,-2.3,-2.4,-2.4,-2.5,-2.5,-2.599999,-2.599999,-2.699999,-2.679999,-2.679999,-2.699999,-2.679999,-2.679999,-2.659999,-2.659999,-2.679999,-2.679999,-2.699999,-2.679999,-2.679999,-2.699999,-2.679999
-2.4,-2.3,-2.699999,-2.679999,-2.699999,-2.659999,-2.699999,-2.679999,-2.699999,,,,,,,,,,,,,,,,,,,,,,,,
-2.684999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
