ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,0,1.8,1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,1,1.8,1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,2,1.1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,3,1.8,1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,4,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,5,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,6,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,7,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,8,1.4,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,9,1.8,1.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,10,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,11,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,12,1.4,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,13,1.38,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,14,1.8,1.38,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,15,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,16,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,17,1.8,1.38,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,18,1.8,1.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,19,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,20,1.38,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,21,1.8,1.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,22,1.4,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,23,1.8,1.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,24,1.8,1.38,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,25,1.8,1.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,26,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,27,1.38,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,28,1.38,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,29,1.4,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
005_f,30,1.8,1.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.3,1.4,1.38,1.38,1.36,1.36,1.38,1.36,1.36,1.38,1.38,1.4,1.4,1.38,1.36,1.36,1.38,1.38,1.4,1.38
1.4,1.3,1.4,1.36,1.38,1.36,1.4,1.36,1.4,,,,,,,,,,,,,,,,,,,,,,
1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
