ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,0,-2,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,1,-2.7,-1.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,2,-1.9,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,3,-2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,4,-2.7,-2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,5,-2.7,-2.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,6,-2.1,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,7,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,8,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,9,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,10,-2.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,11,-2.7,-2.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,12,-2.7,-2.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,13,-2.7,-2.5,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,14,-2.48,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,15,-2.7,-2.48,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,16,-2.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,17,-2.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,18,-2.7,-2.52,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,19,-2.5,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,20,-2.48,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,21,-2.46,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,22,-2.7,-2.46,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,23,-2.7,-2.44,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,24,-2.44,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,25,-2.7,-2.42,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,26,-2.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,27,-2.4,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,28,-2.38,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,29,-2.38,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,30,-2.7,-2.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,31,-2.38,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,32,-2.38,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,33,-2.4,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_a,34,-2.7,-2.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,-1.9,-1.9,-2,-2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.3,-2.4,-2.4,-2.5,-2.48,-2.48,-2.5,-2.5,-2.52,-2.5,-2.48,-2.46,-2.46,-2.44,-2.44,-2.42,-2.4,-2.4,-2.38,-2.38,-2.4,-2.38,-2.38,-2.4,-2.38
-2,-1.9,-2.5,-2.48,-2.52,-2.38,-2.4,-2.38,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
