ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,0,0.3,0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,1,0.3,0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,2,0.3,0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,3,0.3,0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,4,0.3,0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,5,0.6,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,6,0.5,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,7,0.6,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,8,0.3,0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,9,0.3,0.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,10,0.3,0.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,11,0.3,0.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,12,0.42,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,13,0.3,0.42,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,14,0.3,0.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,15,0.3,0.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,16,0.38,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,17,0.38,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,18,0.4,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,19,0.3,0.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,20,0.3,0.42,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,21,0.42,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,22,0.3,0.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,23,0.3,0.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,24,0.3,0.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,25,0.38,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,26,0.36,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,27,0.3,0.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,28,0.3,0.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,29,0.36,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,30,0.3,0.36,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_d,31,0.3,0.38,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.4,0.42,0.42,0.4,0.4,0.38,0.38,0.4,0.4,0.42,0.42,0.4,0.4,0.38,0.38,0.36,0.38,0.38,0.36,0.36,0.38
0.5,0.6,0.4,0.42,0.38,0.42,0.36,0.38,0.36,,,,,,,,,,,,,,,,,,,,,,,
0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
