ID,Trial,A,B,Answer,Result
008_e,0,0.30,-0.20,A,True
008_e,1,0.30,-0.20,A,True
008_e,2,0.30,-0.10,A,True
008_e,3,-0.10,0.30,B,True
008_e,4,0.30,0.00,A,True
008_e,5,0.30,0.00,A,True
008_e,6,0.30,0.10,A,True
008_e,7,0.10,0.30,B,True
008_e,8,0.20,0.30,B,True
008_e,9,0.30,0.20,B,False
008_e,10,0.30,0.10,A,True
008_e,11,0.30,0.10,A,True
008_e,12,0.30,0.20,A,True
008_e,13,0.20,0.30,A,False
008_e,14,0.30,0.18,A,True
008_e,15,0.18,0.30,B,True
008_e,16,0.20,0.30,A,False
008_e,17,0.30,0.18,A,True
008_e,18,0.30,0.18,B,False
008_e,19,0.30,0.16,A,True
008_e,20,0.16,0.30,B,True
008_e,21,0.18,0.30,B,True
008_e,22,0.30,0.18,A,True
008_e,23,0.30,0.20,A,True
008_e,24,0.20,0.30,B,True
008_e,25,0.22,0.30,A,False
008_e,26,0.20,0.30,B,True
008_e,27,0.30,0.20,A,True
008_e,28,0.22,0.30,B,True
008_e,29,0.22,0.30,B,True
008_e,30,0.24,0.30,B,True
008_e,31,0.30,0.24,B,False
008_e,32,0.22,0.30,B,True
-0.2,-0.2,-0.1,-0.1,0,0,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.18,0.18,0.2,0.18,0.18,0.16,0.16,0.18,0.18,0.2,0.2,0.22,0.2,0.2,0.22,0.22,0.24,0.24,0.22
0.2,0.1,0.2,0.18,0.2,0.16,0.22,0.2,0.24
0.205

