ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,0,1.8,1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,1,1.8,1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,2,1.1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,3,1.1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,4,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,5,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,6,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,7,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,8,1.8,1.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,9,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,10,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,11,1.8,1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,12,1.4,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,13,1.5,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,14,1.5,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,15,1.8,1.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,16,1.6,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,17,1.58,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,18,1.8,1.56,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,19,1.8,1.54,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,20,1.8,1.52,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,21,1.8,1.52,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,22,1.54,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,23,1.8,1.54,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,24,1.8,1.56,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,25,1.8,1.56,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,26,1.58,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,27,1.8,1.58,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,28,1.8,1.56,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,29,1.8,1.56,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,30,1.54,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,31,1.8,1.54,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,32,1.8,1.56,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,33,1.54,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,34,1.54,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,35,1.8,1.56,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,36,1.8,1.56,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,37,1.8,1.58,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,38,1.8,1.58,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_f,39,1.8,1.56,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.58,1.56,1.54,1.52,1.52,1.54,1.54,1.56,1.56,1.58,1.58,1.56,1.56,1.54,1.54,1.56,1.54,1.54,1.56,1.56,1.58,1.58,1.56
1.4,1.3,1.6,1.52,1.58,1.54,1.56,1.54,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
