ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,0,-0.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,1,-1.2,-0.6,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,2,-0.5,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,3,-0.5,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,4,-0.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,5,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,6,-1.2,-0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,7,-1.2,-0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,8,-0.8,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,9,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,10,-0.9,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,11,-1.2,-0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,12,-1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,13,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,14,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,15,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,16,-1.2,-1.2,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,17,-1.2,-1.18,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,18,-1.18,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,19,-1.2,-1.16,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,20,-1.14,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,21,-1.14,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,22,-1.2,-1.12,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,23,-1.12,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,24,-1.2,-1.14,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,25,-1.14,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,26,-1.2,-1.12,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,27,-1.12,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,28,-1.2,-1.14,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,29,-1.12,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,30,-1.2,-1.12,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,31,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,32,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,33,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,34,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,35,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,36,-1.2,-1.12,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,37,-1.2,-1.12,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,38,-1.2,-1.14,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,39,-1.2,-1.14,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_b,40,-1.2,-1.12,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6,-0.6,-0.5,-0.5,-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1.1,-1.2,-1.18,-1.18,-1.16,-1.14,-1.14,-1.12,-1.12,-1.14,-1.14,-1.12,-1.12,-1.14,-1.12,-1.12,-1.1,-1.08,-1.08,-1.1,-1.1,-1.12,-1.12,-1.14,-1.14,-1.12
-0.6,-0.5,-1.2,-1.12,-1.14,-1.12,-1.14,-1.08,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
