ID,Trial,A,B,Answer,Result
010_d,0,0.80,0.30,B,True
010_d,1,0.80,0.30,B,True
010_d,2,0.70,0.30,B,True
010_d,3,0.70,0.30,B,True
010_d,4,0.30,0.60,A,True
010_d,5,0.60,0.30,B,True
010_d,6,0.30,0.50,A,True
010_d,7,0.50,0.30,B,True
010_d,8,0.40,0.30,B,True
010_d,9,0.30,0.40,A,True
010_d,10,0.30,0.30,A,False
010_d,11,0.40,0.30,B,True
010_d,12,0.40,0.30,B,True
010_d,13,0.30,0.30,B,False
010_d,14,0.30,0.32,A,True
010_d,15,0.32,0.30,A,False
010_d,16,0.30,0.34,A,True
010_d,17,0.34,0.30,A,False
010_d,18,0.36,0.30,B,True
010_d,19,0.36,0.30,A,False
010_d,20,0.38,0.30,B,True
010_d,21,0.38,0.30,B,True
010_d,22,0.30,0.36,B,False
010_d,23,0.38,0.30,B,True
010_d,24,0.38,0.30,B,True
010_d,25,0.30,0.36,A,True
010_d,26,0.36,0.30,A,False
010_d,27,0.38,0.30,B,True
010_d,28,0.30,0.38,A,True
010_d,29,0.30,0.36,A,True
010_d,30,0.30,0.36,A,True
010_d,31,0.30,0.34,A,True
010_d,32,0.34,0.30,A,False
010_d,33,0.30,0.36,A,True
0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.32,0.32,0.34,0.34,0.36,0.36,0.38,0.38,0.36,0.38,0.38,0.36,0.36,0.38,0.38,0.36,0.36,0.34,0.34,0.36
0.3,0.4,0.3,0.38,0.36,0.38,0.36,0.38,0.34
0.365

