ID,Trial,A,B,Answer,Result
011_f,0,1.00,1.80,B,True
011_f,1,1.80,1.00,A,True
011_f,2,1.10,1.80,B,True
011_f,3,1.80,1.10,A,True
011_f,4,1.20,1.80,B,True
011_f,5,1.80,1.20,A,True
011_f,6,1.80,1.30,B,False
011_f,7,1.80,1.20,A,True
011_f,8,1.80,1.20,A,True
011_f,9,1.30,1.80,B,True
011_f,10,1.30,1.80,A,False
011_f,11,1.80,1.28,A,True
011_f,12,1.80,1.28,A,True
011_f,13,1.80,1.30,B,False
011_f,14,1.28,1.80,B,True
011_f,15,1.80,1.28,A,True
011_f,16,1.30,1.80,B,True
011_f,17,1.80,1.30,A,True
011_f,18,1.80,1.32,A,True
011_f,19,1.32,1.80,B,True
011_f,20,1.80,1.34,B,False
011_f,21,1.32,1.80,A,False
011_f,22,1.30,1.80,B,True
011_f,23,1.30,1.80,B,True
011_f,24,1.80,1.32,B,False
011_f,25,1.80,1.30,A,True
1,1,1.1,1.1,1.2,1.2,1.3,1.2,1.2,1.3,1.3,1.28,1.28,1.3,1.28,1.28,1.3,1.3,1.32,1.32,1.34,1.32,1.3,1.3,1.32,1.3
1.3,1.2,1.3,1.28,1.3,1.28,1.34,1.3,1.32
1.31

