ID,Trial,A,B,Answer,Result
012_b,0,-1.20,-0.60,A,True
012_b,1,-1.20,-0.60,A,True
012_b,2,-1.20,-0.70,A,True
012_b,3,-0.70,-1.20,A,False
012_b,4,-1.20,-0.60,A,True
012_b,5,-0.60,-1.20,B,True
012_b,6,-1.20,-0.70,A,True
012_b,7,-0.70,-1.20,B,True
012_b,8,-1.20,-0.80,A,True
012_b,9,-0.80,-1.20,B,True
012_b,10,-0.90,-1.20,B,True
012_b,11,-0.90,-1.20,B,True
012_b,12,-1.00,-1.20,B,True
012_b,13,-1.20,-1.00,A,True
012_b,14,-1.20,-1.10,A,True
012_b,15,-1.20,-1.10,A,True
012_b,16,-1.20,-1.20,B,False
012_b,17,-1.18,-1.20,B,True
012_b,18,-1.20,-1.18,A,True
012_b,19,-1.20,-1.20,A,False
012_b,20,-1.20,-1.18,B,False
012_b,21,-1.20,-1.16,A,True
012_b,22,-1.20,-1.16,B,False
012_b,23,-1.20,-1.14,A,True
012_b,24,-1.14,-1.20,B,True
012_b,25,-1.16,-1.20,A,False
012_b,26,-1.20,-1.14,A,True
012_b,27,-1.14,-1.20,B,True
012_b,28,-1.20,-1.16,A,True
012_b,29,-1.20,-1.16,B,False
012_b,30,-1.14,-1.20,A,False
-0.6,-0.6,-0.7,-0.7,-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1.1,-1.2,-1.18,-1.18,-1.2,-1.18,-1.16,-1.16,-1.14,-1.14,-1.16,-1.14,-1.14,-1.16,-1.16,-1.14
-0.7,-0.6,-1.2,-1.18,-1.2,-1.14,-1.16,-1.14,-1.16
-1.15

