ID,Trial,A,B,Answer,Result
001_C,1,-1.20,-1.80,A,True
001_C,2,-1.80,-1.20,B,True
001_C,3,-1.70,-1.20,B,True
001_C,4,-1.70,-1.20,B,True
001_C,5,-1.60,-1.20,B,True
001_C,6,-1.20,-1.60,A,True
001_C,7,-1.20,-1.50,A,True
001_C,8,-1.20,-1.50,A,True
001_C,9,-1.40,-1.20,B,True
001_C,10,-1.40,-1.20,B,True
001_C,11,-1.20,-1.30,A,True
001_C,12,-1.20,-1.30,A,True
001_C,13,-1.20,-1.20,B,False
001_C,14,-1.20,-1.30,A,True
001_C,15,-1.20,-1.30,A,True
001_C,16,-1.20,-1.20,A,False
001_C,17,-1.30,-1.20,B,True
001_C,18,-1.30,-1.20,B,True
001_C,19,-1.20,-1.20,B,False
001_C,20,-1.22,-1.20,B,True
001_C,21,-1.20,-1.22,B,False
001_C,22,-1.24,-1.20,A,False
001_C,23,-1.20,-1.26,B,False
001_C,24,-1.28,-1.20,B,True
001_C,25,-1.28,-1.20,A,False
001_C,26,-1.30,-1.20,B,True
001_C,27,-1.20,-1.30,B,False
001_C,28,-1.32,-1.20,B,True
001_C,29,-1.32,-1.20,B,True
001_C,30,-1.30,-1.20,B,True
001_C,31,-1.20,-1.30,A,True
001_C,32,-1.28,-1.20,B,True
001_C,33,-1.20,-1.28,A,True
001_C,34,-1.20,-1.26,B,False
001_C,35,-1.20,-1.28,A,True
001_C,36,-1.20,-1.28,A,True
001_C,37,-1.20,-1.26,A,True
001_C,38,-1.20,-1.26,A,True
001_C,39,-1.20,-1.24,A,True
001_C,40,-1.24,-1.20,B,True
001_C,41,-1.20,-1.22,A,True
001_C,42,-1.20,-1.22,A,True
001_C,43,-1.20,-1.20,B,False
001_C,44,-1.22,-1.20,A,False
001_C,45,-1.20,-1.24,A,True
001_C,46,-1.24,-1.20,A,False
001_C,47,-1.20,-1.26,B,False
001_C,48,-1.20,-1.28,A,True
001_C,49,-1.20,-1.28,B,False
001_C,50,-1.20,-1.30,A,True
001_C,51,-1.20,-1.30,A,True
001_C,52,-1.28,-1.20,A,False
001_C,53,-1.20,-1.30,B,False
001_C,54,-1.32,-1.20,B,True
001_C,55,-1.32,-1.20,B,True
001_C,56,-1.20,-1.30,A,True
001_C,57,-1.30,-1.20,A,False
001_C,58,-1.32,-1.20,B,True
001_C,59,-1.20,-1.32,B,False
001_C,60,-1.34,-1.20,A,False
001_C,61,-1.36,-1.20,B,True
001_C,62,-1.20,-1.36,B,False
001_C,63,-1.20,-1.38,B,False
001_C,64,-1.40,-1.20,B,True
001_C,65,-1.20,-1.40,B,False
001_C,66,-1.42,-1.20,B,True
001_C,67,-1.42,-1.20,B,True
001_C,68,-1.20,-1.40,B,False
-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.5,-1.4,-1.4,-1.3,-1.3,-1.2,-1.3,-1.3,-1.2,-1.3,-1.3,-1.2,-1.22,-1.22,-1.24,-1.26,-1.28,-1.28,-1.3,-1.3,-1.32,-1.32,-1.3,-1.3,-1.28,-1.28,-1.26,-1.28,-1.28,-1.26,-1.26,-1.24,-1.24,-1.22,-1.22,-1.2,-1.22,-1.24,-1.24,-1.26,-1.28,-1.28,-1.3,-1.3,-1.28,-1.3,-1.32,-1.32,-1.3,-1.3,-1.32,-1.32,-1.34,-1.36,-1.36,-1.38,-1.4,-1.4,-1.42,-1.42,-1.4,-1.42
-1.2,-1.3,-1.2,-1.3,-1.2,-1.32,-1.26,-1.28,-1.2,-1.3,-1.28,-1.32,-1.3,-1.42,-1.4
-1.308

