ID,Trial,A,B,Answer,Result
002_B,1,0.80,0.20,A,True
002_B,2,0.80,0.20,A,True
002_B,3,0.30,0.80,B,True
002_B,4,0.30,0.80,B,True
002_B,5,0.40,0.80,B,True
002_B,6,0.40,0.80,B,True
002_B,7,0.50,0.80,B,True
002_B,8,0.80,0.50,A,True
002_B,9,0.60,0.80,B,True
002_B,10,0.80,0.60,A,True
002_B,11,0.70,0.80,A,False
002_B,12,0.60,0.80,B,True
002_B,13,0.80,0.60,A,True
002_B,14,0.80,0.70,A,True
002_B,15,0.70,0.80,B,True
002_B,16,0.80,0.80,B,False
002_B,17,0.80,0.70,A,True
002_B,18,0.70,0.80,B,True
002_B,19,0.80,0.80,B,False
002_B,20,0.78,0.80,B,True
002_B,21,0.78,0.80,B,True
002_B,22,0.80,0.80,A,False
002_B,23,0.80,0.78,B,False
002_B,24,0.80,0.76,A,True
002_B,25,0.76,0.80,B,True
002_B,26,0.80,0.78,A,True
002_B,27,0.78,0.80,B,True
002_B,28,0.80,0.80,A,False
002_B,29,0.78,0.80,A,False
002_B,30,0.80,0.76,A,True
002_B,31,0.80,0.76,A,True
002_B,32,0.80,0.78,A,True
002_B,33,0.78,0.80,A,False
002_B,34,0.80,0.76,A,True
002_B,35,0.76,0.80,B,True
002_B,36,0.78,0.80,B,True
002_B,37,0.78,0.80,B,True
002_B,38,0.80,0.80,B,False
002_B,39,0.80,0.78,A,True
002_B,40,0.78,0.80,B,True
002_B,41,0.80,0.80,A,False
0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.8000001,0.7,0.7,0.8000001,0.7800001,0.7800001,0.8000001,0.7800001,0.7600001,0.7600001,0.7800001,0.7800001,0.8000001,0.7800001,0.7600001,0.7600001,0.7800001,0.7800001,0.7600001,0.7600001,0.7800001,0.7800001,0.8000001,0.7800001,0.7800001,0.8000001,0.7800001
0.7,0.6,0.8000001,0.7,0.8000001,0.7800001,0.8000001,0.7600001,0.8000001,0.7600001,0.7800001,0.7600001,0.8000001,0.7800001,0.8000001
0.7820002

