ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,
t-2.4,1,-2.4,-1.2,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,2,-2.4,-1.2,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,3,-2.4,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,4,-2.4,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,5,-1.4,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,6,-2.4,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,7,-2.4,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,8,-2.4,-1.5,B,FALSE,,,,,,,,,,,,,,,,,,,,
t-2.4,9,-2.4,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,10,-1.4,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,11,-1.5,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,12,-1.5,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,13,-2.4,-1.6,B,FALSE,,,,,,,,,,,,,,,,,,,,
t-2.4,14,-1.58,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,15,-1.58,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,16,-2.4,-1.6,B,FALSE,,,,,,,,,,,,,,,,,,,,
t-2.4,17,-1.58,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,18,-1.58,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,19,-1.6,-2.4,A,FALSE,,,,,,,,,,,,,,,,,,,,
t-2.4,20,-2.4,-1.58,A,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,21,-1.58,-2.4,A,FALSE,,,,,,,,,,,,,,,,,,,,
t-2.4,22,-2.4,-1.56,B,FALSE,,,,,,,,,,,,,,,,,,,,
t-2.4,23,-1.54,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,24,-1.54,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,
t-2.4,25,-1.56,-2.4,A,FALSE,,,,,,,,,,,,,,,,,,,,
-1.2,-1.2,-1.3,-1.3,-1.4,-1.4,-1.5,-1.5,-1.4,-1.4,-1.5,-1.5,-1.6,-1.58,-1.58,-1.6,-1.58,-1.58,-1.6,-1.58,-1.58,-1.56,-1.54,-1.54,-1.56,-1.54
-1.5,-1.4,-1.6,-1.58,-1.6,-1.58,-1.6,-1.54,-1.56,,,,,,,,,,,,,,,,,
-1.57,,,,,,,,,,,,,,,,,,,,,,,,,
