ID,Trial,A,Answer,Result,Time Spent
002-,1,1.00,mud,True,8.00
002-,2,-1.20,water,False,3.65
002-,3,-1.20,air,True,2.84
002-,4,1.00,mud,True,2.66
002-,5,-2.00,air,False,6.89
002-,6,-2.00,water,True,10.12
002-,7,-2.00,water,True,3.26
002-,8,-2.00,water,True,6.83
002-,9,-1.20,air,True,2.83
002-,10,0.10,sand,True,1.97
002-,11,0.10,sand,True,1.91
002-,12,0.10,sand,True,2.73
002-,13,1.00,mud,True,1.31
002-,14,-2.00,water,True,2.53
002-,15,1.00,mud,True,2.33
002-,16,-1.20,water,False,15.98
002-,17,1.00,mud,True,1.86
002-,18,0.10,sand,True,1.05
002-,19,0.10,sand,True,3.76
002-,20,-1.20,air,True,3.67

