ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,
001_a,1,-2.7,-1.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,2,-1.9,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,3,-2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,4,-2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,5,-2.7,-2.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,6,-2.7,-2.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,7,-2.2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,8,-2.2,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,9,-2.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,10,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,11,-2.7,-2.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,12,-2.4,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
001_a,13,-2.7,-2.3,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,
001_a,14,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,15,-2.7,-2.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,16,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,17,-2.7,-2.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,18,-2.7,-2.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,
001_a,19,-2.38,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,20,-2.7,-2.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,21,-2.4,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
001_a,22,-2.7,-2.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,23,-2.7,-2.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,24,-2.7,-2.4,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,
001_a,25,-2.7,-2.38,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,
001_a,26,-2.7,-2.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,27,-2.36,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,
001_a,28,-2.38,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,
-1.9,-1.9,-2,-2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.3,-2.4,-2.4,-2.3,-2.2,-2.2,-2.3,-2.3,-2.4,-2.38,-2.38,-2.4,-2.38,-2.38,-2.4,-2.38,-2.36,-2.36,-2.38,-2.36
-2.4,-2.2,-2.4,-2.38,-2.4,-2.38,-2.4,-2.36,-2.38,,,,,,,,,,,,,,,,,,,,
-2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
