ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,1,1.8,1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,2,1.8,1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,3,1.8,1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,4,1.8,1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,5,1.8,1.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,6,1.8,1.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,7,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,8,1.8,1.3,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,9,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,10,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,11,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,12,1.8,1.3,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,13,1.8,1.28,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,14,1.26,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,15,1.26,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,16,1.8,1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,17,1.8,1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,18,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,19,1.3,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,20,1.28,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,21,1.28,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,22,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,23,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,24,1.8,1.32,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,25,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,26,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,27,1.32,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,28,1.32,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,29,1.8,1.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,30,1.34,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,31,1.8,1.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,32,1.36,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_f,33,1.38,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.3,1.28,1.26,1.26,1.28,1.28,1.3,1.3,1.28,1.28,1.3,1.3,1.32,1.3,1.3,1.32,1.32,1.34,1.34,1.36,1.36,1.38,1.36
1.3,1.2,1.3,1.26,1.3,1.28,1.32,1.3,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
