ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,1,-1.2,-0.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,2,-0.5,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,3,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,4,-0.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,5,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,6,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,7,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,8,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,9,-1.2,-0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,10,-1.2,-0.9,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,11,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,12,-1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,13,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,14,-1.2,-1.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,15,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,16,-1.2,-1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,17,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,18,-1.2,-1.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,19,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,20,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,21,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,22,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,23,-1.2,-1.12,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,24,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,25,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,26,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,27,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,28,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,29,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,30,-1.12,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,31,-1.12,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,32,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,33,-1.2,-1.08,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,34,-1.2,-1.06,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,35,-1.06,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,36,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_B,37,-1.08,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,-0.5,-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1.1,-1,-1,-1.1,-1.1,-1.08,-1.08,-1.1,-1.1,-1.12,-1.1,-1.1,-1.08,-1.08,-1.1,-1.1,-1.12,-1.12,-1.1,-1.08,-1.06,-1.06,-1.08,-1.08,-1.06
-1.1,-1,-1.1,-1.08,-1.12,-1.08,-1.12,-1.06,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
