ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,1,-1.2,-1.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,2,-1.2,-1.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,3,-1.2,-1.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,4,-1.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,5,-1.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,6,-1.2,-1.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,7,-1.2,-1.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,8,-1.5,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,9,-1.5,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,10,-1.2,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,11,-1.2,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,12,-1.2,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,13,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,14,-1.2,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,15,-1.2,-1.2,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,16,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,17,-1.2,-1.3,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,18,-1.2,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,19,-1.4,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,20,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,21,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,22,-1.2,-1.2,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,23,-1.22,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,24,-1.24,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,25,-1.26,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,26,-1.2,-1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,27,-1.28,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,28,-1.2,-1.26,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,29,-1.26,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,30,-1.28,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,31,-1.28,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,32,-1.26,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,33,-1.2,-1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,34,-1.2,-1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,35,-1.26,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_c,36,-1.2,-1.26,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.5,-1.4,-1.4,-1.3,-1.3,-1.2,-1.3,-1.3,-1.4,-1.4,-1.3,-1.3,-1.2,-1.22,-1.24,-1.26,-1.28,-1.28,-1.26,-1.26,-1.28,-1.28,-1.26,-1.28,-1.28,-1.26,-1.26,-1.28
-1.2,-1.4,-1.2,-1.28,-1.26,-1.28,-1.26,-1.28,-1.26,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
