ID,Trial,A,B,Answer,Result
005_b,0,-1.20,-0.60,A,True
005_b,1,-0.60,-1.20,B,True
005_b,2,-1.20,-0.70,A,True
005_b,3,-0.70,-1.20,B,True
005_b,4,-0.80,-1.20,B,True
005_b,5,-0.80,-1.20,B,True
005_b,6,-1.20,-0.90,A,True
005_b,7,-0.90,-1.20,B,True
005_b,8,-1.00,-1.20,B,True
005_b,9,-1.20,-1.00,A,True
005_b,10,-1.20,-1.10,A,True
005_b,11,-1.10,-1.20,B,True
005_b,12,-1.20,-1.20,A,False
005_b,13,-1.10,-1.20,B,True
005_b,14,-1.10,-1.20,B,True
005_b,15,-1.20,-1.20,A,False
005_b,16,-1.18,-1.20,B,True
005_b,17,-1.18,-1.20,A,False
005_b,18,-1.20,-1.16,A,True
005_b,19,-1.20,-1.16,B,False
005_b,20,-1.14,-1.20,B,True
005_b,21,-1.14,-1.20,B,True
005_b,22,-1.20,-1.16,A,True
005_b,23,-1.20,-1.16,B,False
005_b,24,-1.14,-1.20,B,True
005_b,25,-1.14,-1.20,B,True
005_b,26,-1.20,-1.16,B,False
005_b,27,-1.14,-1.20,B,True
005_b,28,-1.14,-1.20,B,True
005_b,29,-1.20,-1.16,B,False
005_b,30,-1.14,-1.20,B,True
-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1.1,-1.2,-1.1,-1.1,-1.2,-1.18,-1.18,-1.16,-1.16,-1.14,-1.14,-1.16,-1.16,-1.14,-1.14,-1.16,-1.14,-1.14,-1.16,-1.14
-1.2,-1.1,-1.2,-1.14,-1.16,-1.14,-1.16,-1.14,-1.16
-1.15

