ID,Trial,A,B,Answer,Result
006_f,0,1.00,1.80,B,True
006_f,1,1.00,1.80,B,True
006_f,2,1.10,1.80,B,True
006_f,3,1.10,1.80,B,True
006_f,4,1.80,1.20,B,False
006_f,5,1.10,1.80,B,True
006_f,6,1.10,1.80,B,True
006_f,7,1.20,1.80,B,True
006_f,8,1.20,1.80,B,True
006_f,9,1.80,1.30,B,False
006_f,10,1.28,1.80,A,False
006_f,11,1.80,1.26,A,True
006_f,12,1.80,1.26,A,True
006_f,13,1.28,1.80,B,True
006_f,14,1.80,1.28,A,True
006_f,15,1.80,1.30,A,True
006_f,16,1.80,1.30,B,False
006_f,17,1.80,1.28,A,True
006_f,18,1.80,1.28,A,True
006_f,19,1.80,1.30,A,True
006_f,20,1.80,1.30,A,True
006_f,21,1.80,1.32,A,True
006_f,22,1.32,1.80,B,True
006_f,23,1.80,1.34,A,True
006_f,24,1.34,1.80,A,False
006_f,25,1.32,1.80,B,True
006_f,26,1.32,1.80,B,True
006_f,27,1.34,1.80,B,True
006_f,28,1.34,1.80,B,True
006_f,29,1.36,1.80,B,True
006_f,30,1.36,1.80,B,True
006_f,31,1.38,1.80,B,True
006_f,32,1.80,1.38,A,True
006_f,33,1.80,1.40,A,True
006_f,34,1.40,1.80,B,True
006_f,35,1.42,1.80,A,False
006_f,36,1.40,1.80,A,False
1,1,1.1,1.1,1.2,1.1,1.1,1.2,1.2,1.3,1.28,1.26,1.26,1.28,1.28,1.3,1.3,1.28,1.28,1.3,1.3,1.32,1.32,1.34,1.34,1.32,1.32,1.34,1.34,1.36,1.36,1.38,1.38,1.4,1.4,1.42,1.4
1.2,1.1,1.3,1.26,1.3,1.28,1.34,1.32,1.42
1.34

