ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,0,-0.6,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,1,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,2,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,3,-0.7,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,4,-1.2,-0.8,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,5,-1.2,-0.8,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,6,-1.2,-0.7,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,7,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,8,-1.2,-0.6,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,9,-0.7,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,10,-1.2,-0.68,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,11,-0.68,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,12,-1.2,-0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,13,-1.2,-0.7,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,14,-1.2,-0.72,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,15,-1.2,-0.72,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,16,-0.74,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,17,-0.72,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,18,-1.2,-0.72,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,19,-1.2,-0.74,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,20,-1.2,-0.74,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,21,-0.72,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,22,-1.2,-0.72,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,23,-1.2,-0.74,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,24,-1.2,-0.74,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,25,-0.76,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,26,-0.76,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,27,-0.78,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,28,-1.2,-0.78,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,29,-0.8,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,30,-1.2,-0.8,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
008_b,31,-1.2,-0.78,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.7,-0.6,-0.6,-0.7,-0.6800001,-0.6800001,-0.7,-0.7,-0.72,-0.72,-0.74,-0.72,-0.72,-0.74,-0.74,-0.72,-0.72,-0.74,-0.74,-0.76,-0.76,-0.78,-0.78,-0.8,-0.8,-0.78
-0.8000001,-0.6,-0.7,-0.6800001,-0.74,-0.72,-0.74,-0.72,-0.8,,,,,,,,,,,,,,,,,,,,,,,
-0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
