ID,Trial,A,B,Answer,Result
009_a,0,-2.70,-2.00,A,True
009_a,1,-2.70,-2.00,A,True
009_a,2,-2.10,-2.70,B,True
009_a,3,-2.70,-2.10,A,True
009_a,4,-2.20,-2.70,B,True
009_a,5,-2.20,-2.70,B,True
009_a,6,-2.30,-2.70,B,True
009_a,7,-2.70,-2.30,A,True
009_a,8,-2.40,-2.70,B,True
009_a,9,-2.40,-2.70,B,True
009_a,10,-2.70,-2.50,B,False
009_a,11,-2.70,-2.40,A,True
009_a,12,-2.40,-2.70,A,False
009_a,13,-2.30,-2.70,B,True
009_a,14,-2.70,-2.30,A,True
009_a,15,-2.40,-2.70,A,False
009_a,16,-2.38,-2.70,B,True
009_a,17,-2.38,-2.70,B,True
009_a,18,-2.70,-2.40,B,False
009_a,19,-2.38,-2.70,B,True
009_a,20,-2.70,-2.38,B,False
009_a,21,-2.36,-2.70,B,True
009_a,22,-2.70,-2.36,B,False
009_a,23,-2.34,-2.70,B,True
009_a,24,-2.34,-2.70,A,False
009_a,25,-2.32,-2.70,B,True
009_a,26,-2.70,-2.32,A,True
009_a,27,-2.70,-2.34,B,False
009_a,28,-2.32,-2.70,B,True
009_a,29,-2.70,-2.32,A,True
009_a,30,-2.70,-2.34,B,False
009_a,31,-2.70,-2.34,A,True
009_a,31,-2.70,-2.34,B,False
009_a,32,-2.70,-2.32,A,True
-2,-2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.3,-2.4,-2.4,-2.5,-2.4,-2.4,-2.3,-2.3,-2.4,-2.38,-2.38,-2.4,-2.38,-2.38,-2.36,-2.36,-2.34,-2.34,-2.32,-2.32,-2.34,-2.32,-2.32,-2.34,-2.34,-2.32
-2.5,-2.3,-2.4,-2.38,-2.4,-2.32,-2.34,-2.32,-2.34
-2.33
