ID,Trial,A,B,Answer,Result
012_e,0,0.30,-0.20,A,True
012_e,1,0.30,-0.20,A,True
012_e,2,0.30,-0.10,A,True
012_e,3,0.30,-0.10,A,True
012_e,4,0.00,0.30,B,True
012_e,5,0.00,0.30,B,True
012_e,6,0.30,0.10,B,False
012_e,7,0.00,0.30,B,True
012_e,8,0.00,0.30,B,True
012_e,9,0.30,0.10,A,True
012_e,10,0.10,0.30,B,True
012_e,11,0.20,0.30,B,True
012_e,12,0.20,0.30,B,True
012_e,13,0.30,0.30,B,False
012_e,14,0.28,0.30,A,False
012_e,15,0.30,0.26,A,True
012_e,16,0.26,0.30,B,True
012_e,17,0.30,0.28,B,False
012_e,18,0.26,0.30,B,True
012_e,19,0.30,0.26,B,False
012_e,20,0.24,0.30,B,True
012_e,21,0.24,0.30,B,True
012_e,22,0.26,0.30,B,True
012_e,23,0.30,0.26,A,True
012_e,24,0.28,0.30,B,True
012_e,25,0.28,0.30,A,False
012_e,26,0.30,0.26,A,True
012_e,27,0.26,0.30,B,True
012_e,28,0.30,0.28,B,False
012_e,29,0.26,0.30,B,True
-0.2,-0.2,-0.1,-0.1,0,0,0.1,0,0,0.1,0.1,0.2,0.2,0.3,0.28,0.26,0.26,0.28,0.26,0.26,0.24,0.24,0.26,0.26,0.28,0.28,0.26,0.26,0.28,0.26
0.1,0,0.3,0.26,0.28,0.24,0.28,0.26,0.28
0.265

