ID,Trial,A,B,Answer,Result
001_A,1,-1.20,-2.40,B,True
001_A,2,-1.20,-2.40,B,True
001_A,3,-1.30,-2.40,B,True
001_A,4,-2.40,-1.30,A,True
001_A,5,-2.40,-1.40,B,False
001_A,6,-1.30,-2.40,B,True
001_A,7,-1.30,-2.40,B,True
001_A,8,-1.40,-2.40,B,True
001_A,9,-1.40,-2.40,B,True
001_A,10,-2.40,-1.50,A,True
001_A,11,-1.50,-2.40,A,False
001_A,12,-2.40,-1.40,A,True
001_A,13,-2.40,-1.40,A,True
001_A,14,-1.50,-2.40,B,True
001_A,15,-2.40,-1.50,B,False
001_A,16,-2.40,-1.48,A,True
001_A,17,-1.48,-2.40,B,True
001_A,18,-1.50,-2.40,B,True
001_A,19,-2.40,-1.50,B,False
001_A,20,-1.48,-2.40,B,True
001_A,21,-1.48,-2.40,B,True
001_A,22,-2.40,-1.50,B,False
001_A,23,-2.40,-1.48,A,True
001_A,24,-2.40,-1.48,B,False
001_A,25,-2.40,-1.46,A,True
001_A,26,-2.40,-1.46,A,True
001_A,27,-1.48,-2.40,A,False
001_A,28,-2.40,-1.46,A,True
001_A,29,-2.40,-1.46,A,True
001_A,30,-2.40,-1.48,A,True
001_A,31,-1.48,-2.40,B,True
001_A,32,-2.40,-1.50,A,True
001_A,33,-2.40,-1.50,B,False
001_A,34,-2.40,-1.48,A,True
001_A,35,-1.48,-2.40,B,True
001_A,36,-2.40,-1.50,A,True
001_A,37,-2.40,-1.50,B,False
-1.2,-1.2,-1.3,-1.3,-1.4,-1.3,-1.3,-1.4,-1.4,-1.5,-1.5,-1.4,-1.4,-1.5,-1.5,-1.48,-1.48,-1.5,-1.5,-1.48,-1.48,-1.5,-1.48,-1.48,-1.46,-1.46,-1.48,-1.46,-1.46,-1.48,-1.48,-1.5,-1.5,-1.48,-1.48,-1.5,-1.5,-1.48
-1.4,-1.3,-1.5,-1.4,-1.5,-1.48,-1.5,-1.48,-1.5,-1.46,-1.48,-1.46,-1.5,-1.48,-1.5
-1.484

