ID,Trial,A,B,Answer,Result
001_D,1,-1.20,-0.60,A,True
001_D,2,-1.20,-0.60,A,True
001_D,3,-1.20,-0.70,A,True
001_D,4,-0.70,-1.20,B,True
001_D,5,-0.80,-1.20,B,True
001_D,6,-0.80,-1.20,B,True
001_D,7,-1.20,-0.90,A,True
001_D,8,-1.20,-0.90,A,True
001_D,9,-1.00,-1.20,B,True
001_D,10,-1.00,-1.20,B,True
001_D,11,-1.10,-1.20,A,False
001_D,12,-1.20,-1.00,A,True
001_D,13,-1.00,-1.20,B,True
001_D,14,-1.20,-1.10,A,True
001_D,15,-1.20,-1.10,A,True
001_D,16,-1.20,-1.20,B,False
001_D,17,-1.10,-1.20,B,True
001_D,18,-1.20,-1.10,A,True
001_D,19,-1.20,-1.20,B,False
001_D,20,-1.18,-1.20,B,True
001_D,21,-1.18,-1.20,A,False
001_D,22,-1.16,-1.20,B,True
001_D,23,-1.20,-1.16,A,True
001_D,24,-1.20,-1.18,A,True
001_D,25,-1.18,-1.20,B,True
001_D,26,-1.20,-1.20,A,False
001_D,27,-1.18,-1.20,A,False
001_D,28,-1.20,-1.16,B,False
001_D,29,-1.14,-1.20,A,False
001_D,30,-1.12,-1.20,B,True
001_D,31,-1.20,-1.12,A,True
001_D,32,-1.14,-1.20,B,True
001_D,33,-1.14,-1.20,B,True
001_D,34,-1.20,-1.16,B,False
001_D,35,-1.20,-1.14,B,False
001_D,36,-1.12,-1.20,A,False
001_D,37,-1.20,-1.10,B,False
001_D,38,-1.08,-1.20,B,True
001_D,39,-1.20,-1.08,A,True
001_D,40,-1.20,-1.10,A,True
001_D,41,-1.20,-1.10,A,True
001_D,42,-1.20,-1.12,B,False
001_D,43,-1.20,-1.10,B,False
001_D,44,-1.08,-1.20,B,True
001_D,45,-1.20,-1.08,A,True
001_D,46,-1.20,-1.10,B,False
001_D,47,-1.20,-1.08,A,True
001_D,48,-1.08,-1.20,B,True
001_D,49,-1.20,-1.10,B,False
-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1,-1,-1.1,-1.1,-1.2,-1.1,-1.1,-1.2,-1.18,-1.18,-1.16,-1.16,-1.18,-1.18,-1.2,-1.18,-1.16,-1.14,-1.12,-1.12,-1.14,-1.14,-1.16,-1.14,-1.12,-1.1,-1.08,-1.08,-1.1,-1.1,-1.12,-1.1,-1.08,-1.08,-1.1,-1.08,-1.08,-1.1,-1.08
-1.1,-1,-1.2,-1.1,-1.2,-1.16,-1.2,-1.12,-1.16,-1.08,-1.12,-1.08,-1.1,-1.08,-1.1
-1.12

