ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,1,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,2,-1.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,3,-1.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,4,-2.7,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,5,-1.6,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,6,-2.7,-1.5,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,7,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,8,-1.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,9,-1.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,10,-1.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,11,-1.6,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,12,-2.7,-1.6,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,13,-2.7,-1.58,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,14,-1.56,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,15,-2.7,-1.56,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,16,-2.7,-1.54,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,17,-1.52,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,18,-1.5,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,19,-1.48,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,20,-1.48,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,21,-1.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,22,-2.7,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,23,-1.52,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,24,-2.7,-1.5,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,25,-2.7,-1.48,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,26,-1.48,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,27,-2.7,-1.5,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,28,-1.48,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,29,-1.48,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,30,-1.46,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,31,-1.46,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,32,-1.48,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-2.4,33,-2.7,-1.48,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.4,-1.4,-1.5,-1.5,-1.6,-1.5,-1.4,-1.4,-1.5,-1.5,-1.6,-1.6,-1.58,-1.56,-1.56,-1.54,-1.52,-1.5,-1.48,-1.48,-1.5,-1.5,-1.52,-1.5,-1.48,-1.48,-1.5,-1.48,-1.48,-1.46,-1.46,-1.48,-1.48,-1.46
-1.6,-1.4,-1.6,-1.48,-1.52,-1.48,-1.5,-1.46,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,
-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
