ID,Trial,A,B,Answer,Result
t2,1,0.00,0.30,B,True
t2,2,0.00,0.30,B,True
t2,3,0.10,0.30,B,True
t2,4,0.30,0.10,B,False
t2,5,0.30,0.00,A,True
t2,6,0.30,0.00,A,True
t2,7,0.10,0.30,A,False
t2,8,0.08,0.30,B,True
t2,9,0.08,0.30,B,True
t2,10,0.10,0.30,B,True
t2,11,0.10,0.30,B,True
t2,12,0.30,0.12,A,True
t2,13,0.12,0.30,B,True
t2,14,0.30,0.14,B,False
t2,15,0.30,0.12,A,True
t2,16,0.30,0.12,B,False
t2,17,0.30,0.10,B,False
t2,18,0.30,0.08,A,True
t2,19,0.08,0.30,B,True
t2,20,0.30,0.10,B,False
t2,21,0.08,0.30,B,True
t2,22,0.08,0.30,B,True
t2,23,0.10,0.30,B,True
t2,24,0.30,0.10,A,True
t2,25,0.12,0.30,B,True
t2,26,0.30,0.12,A,True
t2,27,0.30,0.14,A,True
t2,28,0.30,0.14,A,True
t2,29,0.30,0.16,A,True
t2,30,0.16,0.30,B,True
t2,31,0.18,0.30,B,True
t2,32,0.30,0.18,B,False
0,0,0.1,0.1,0,0,0.1,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.12,0.12,0.09999999,0.07999999,0.07999999,0.09999999,0.07999999,0.07999999,0.09999999,0.09999999,0.12,0.12,0.14,0.14,0.16,0.16,0.18,0.18,0.16
0.1,0,0.1,0.08,0.14,0.07999999,0.09999999,0.07999999,0.18
0.11

