ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,1,0.3,0,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,2,0.3,0,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,3,0.1,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,4,0.3,0.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,5,0.3,0,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,6,0,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,7,0.3,0.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,8,0.3,0.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,9,0.3,0.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,10,0.3,0.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,11,0.3,0.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,12,0.08,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,13,0.3,0.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,14,0.3,0.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,15,0.08,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,16,0.1,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,17,0.1,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,18,0.3,0.12,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,19,0.3,0.12,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,20,0.14,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,21,0.14,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,22,0.3,0.16,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,23,0.3,0.16,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,24,0.3,0.14,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,25,0.12,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,26,0.3,0.12,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,27,0.3,0.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,28,0.1,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,29,0.3,0.12,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,30,0.3,0.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,31,0.08,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
t3,32,0.08,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.1,0.1,0,0,0.1,0.08,0.08,0.1,0.08,0.08,0.1,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.16,0.16,0.14,0.12,0.12,0.09999999,0.09999999,0.12,0.09999999,0.07999999,0.07999999,0.09999999
0.1,0,0.1,0.08,0.1,0.08,0.1,0.08,0.16,0.09999999,0.12,0.07999999,,,,,,,,,,,,,,,,,,,,,
0.1028571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
