ID,Trial,A,Answer,Result,Time Spent
001-,1,-1.20,air,True,12.86
001-,2,0.10,sand,True,2.35
001-,3,-2.00,water,True,7.18
001-,4,0.10,sand,True,1.87
001-,5,1.00,mud,True,2.01
001-,6,-2.00,water,True,3.08
001-,7,-1.20,air,True,2.50
001-,8,-1.20,air,True,3.68
001-,9,0.10,sand,True,3.63
001-,10,1.00,mud,True,2.25
001-,11,1.00,mud,True,3.49
001-,12,-1.20,water,False,2.73
001-,13,-2.00,water,True,2.74
001-,14,-2.00,water,True,2.42
001-,15,-2.00,water,True,3.45
001-,16,1.00,mud,True,1.83
001-,17,0.10,sand,True,2.38
001-,18,0.10,sand,True,1.77
001-,19,-1.20,air,True,2.73
001-,20,1.00,mud,True,1.64

